"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
1621902,16219,"YUT","Repulse Bay Airport","Repulse Bay, Canada","Canada","Nunavut Territory","",36219,"Repulse Bay, Canada",66.52138889,-86.22472222,0,
1621903,16219,"YUT","Repulse Bay Airport","Repulse Bay, Canada","Canada","Nunavut Territory","",36219,"Repulse Bay, Canada",66.52055556,-86.22472222,0,
1621904,16219,"YUT","Naujaat","Repulse Bay, Canada","Canada","Nunavut Territory","",36219,"Repulse Bay, Canada",66.52055556,-86.22472222,1,
1622001,16220,"YUX","Hall Beach Airport","Hall Beach, Canada","Canada","Northwest Territories","",36220,"Hall Beach, Canada",68.77416667,-81.24083333,0,
1622002,16220,"YUX","Hall Beach Airport","Hall Beach, Canada","Canada","Nunavut Territory","",36220,"Hall Beach, Canada",68.77416667,-81.24083333,0,
1622003,16220,"YUX","Hall Beach Airport","Hall Beach, Canada","Canada","Nunavut Territory","",36220,"Hall Beach, Canada",68.77583333,-81.24250000,1,
1622101,16221,"YUY","Rouyn-Noranda Airport","Rouyn-Noranda, Canada","Canada","Quebec","",36221,"Rouyn-Noranda, Canada",48.20555556,-78.83055556,0,
1622102,16221,"YUY","Rouyn-Noranda Airport","Rouyn-Noranda, Canada","Canada","Quebec","",36221,"Rouyn-Noranda, Canada",48.20611111,-78.83555556,1,
1622201,16222,"YVA","Moroni/Iconi","Moroni, Comoros","Comoros","","",36222,"Moroni, Comoros",-11.71083333,43.24388889,0,
1622202,16222,"YVA","Iconi","Moroni, Comoros","Comoros","","",36222,"Moroni, Comoros",-11.71083333,43.24388889,1,
1622301,16223,"YVB","Bonaventure Airport","Bonaventure, Canada","Canada","Quebec","",36223,"Bonaventure, Canada",48.07333333,-65.46166667,0,
1622302,16223,"YVB","Bonaventure Airport","Bonaventure, Canada","Canada","Quebec","",36223,"Bonaventure, Canada",48.07111111,-65.46027778,1,
1622401,16224,"YVC","La Ronge","Lac La Ronge, Canada","Canada","Saskatchewan","",36224,"Lac La Ronge, Canada",55.14833333,-105.26250000,0,
1622402,16224,"YVC","La Ronge","Lac La Ronge, Canada","Canada","Saskatchewan","",36224,"Lac La Ronge, Canada",55.15138889,-105.26194444,0,
1622403,16224,"YVC","La Ronge","Lac La Ronge, Canada","Canada","Saskatchewan","",36224,"Lac La Ronge, Canada",55.15138889,-105.26694444,1,
1622501,16225,"YVN","Cape Dyer Airport","Cape Dyer, Canada","Canada","Northwest Territories","",36225,"Cape Dyer, Canada",66.59194444,-61.57333333,0,
1622502,16225,"YVN","Cape Dyer Airport","Cape Dyer, Canada","Canada","Nunavut Territory","",36225,"Cape Dyer, Canada",66.59194444,-61.57333333,1,
1622601,16226,"YVO","Val d'Or Airport","Val d'Or, Canada","Canada","Quebec","",36226,"Val d'Or, Canada",48.05277778,-77.78277778,0,
1622602,16226,"YVO","Val d'Or Airport","Val d'Or, Canada","Canada","Quebec","",36226,"Val d'Or, Canada",48.05333333,-77.78277778,1,
1622701,16227,"YVP","Fort Chimo Airport","Fort Chimo, Canada","Canada","Quebec","",36227,"Fort Chimo, Canada",58.10194444,-68.40666667,1,
1622801,16228,"YVQ","Norman Wells Airport","Norman Wells, Canada","Canada","Northwest Territories","",36228,"Norman Wells, Canada",65.28333333,-126.80000000,0,
1622802,16228,"YVQ","Norman Wells Airport","Norman Wells, Canada","Canada","Northwest Territories","",36228,"Norman Wells, Canada",65.28138889,-126.79861111,1,
1622901,16229,"YVR","Vancouver International","Vancouver, Canada","Canada","British Columbia","",31215,"Vancouver, Canada",49.18722222,-123.18527778,0,
1622902,16229,"YVR","Vancouver International","Vancouver, Canada","Canada","British Columbia","",31215,"Vancouver, Canada",49.19472222,-123.18388889,1,
1623001,16230,"YVT","Buffalo Narrows Airport","Buffalo Narrows, Canada","Canada","Saskatchewan","",36230,"Buffalo Narrows, Canada",55.85000000,-108.48333333,0,
